year,All Agencies- age_0_5,All Agencies- age_6_11,All Agencies- age_12_15,All Agencies- age_16_20,All Agencies- age_21_25,All Agencies- age_25over,NJ Transit- age_0_5,NJ Transit- age_6_11,NJ Transit- age_12_15,NJ Transit- age_16_20,NJ Transit- age_21_25,NJ Transit- age_25over,PART- age_0_5,PART- age_6_11,PART- age_12_15,PART- age_16_20,PART- age_21_25,PART- age_25over,SEPTA- age_0_5,SEPTA- age_6_11,SEPTA- age_12_15,SEPTA- age_16_20,SEPTA- age_21_25,SEPTA- age_25over
2000,1122,834,782,755,66,0,565,715,278,604,0,0,NA,NA,NA,NA,NA,NA,557,119,504,151,66,0
2001,1366,722,751,461,66,0,706,603,277,383,0,0,NA,NA,NA,NA,NA,NA,660,119,474,78,66,0
2002,1625,857,615,282,66,0,1153,459,261,152,0,0,NA,NA,NA,NA,NA,NA,472,398,354,130,66,0
2003,1823,852,565,147,65,0,1265,454,218,85,0,0,NA,NA,NA,NA,NA,NA,558,398,347,62,65,0
2004,2004,855,330,170,0,0,1318,457,213,20,0,0,NA,NA,NA,NA,NA,NA,686,398,117,150,0,0
2005,1560,1229,0,410,0,0,968,827,0,240,0,0,NA,NA,NA,NA,NA,NA,592,402,0,170,0,0
2006,1635,1346,295,285,0,0,1078,790,290,248,0,0,0,3,5,0,0,0,557,553,0,37,0,0
2007,1526,1541,469,281,0,0,927,807,464,246,0,0,4,1,5,0,0,0,595,733,0,35,0,0
2008,677,2099,869,189,0,0,250,1562,472,189,0,0,4,0,1,0,0,0,423,537,396,0,0,0
2009,887,2189,809,120,1,0,315,1642,475,116,1,0,5,0,1,4,0,0,567,547,333,0,0,0
2010,937,2330,457,202,0,0,511,1535,174,198,0,0,5,0,1,4,0,0,421,795,282,0,0,0
2011,1188,1864,643,125,0,0,736,1007,520,123,0,0,7,0,1,2,0,0,445,857,122,0,0,0
2012,1673,1794,709,94,0,0,843,1012,554,0,0,0,2,5,0,3,0,0,828,777,155,91,0,0
2013,2177,1453,597,92,2,0,1267,843,322,0,0,0,2,5,0,1,2,0,908,605,275,91,0,0
2014,1360,978,1434,90,2,0,1018,454,956,0,0,0,2,5,0,1,2,0,340,519,478,89,0,0
2015,1525,1021,1300,27,2,0,1112,387,923,1,0,0,0,7,0,1,2,0,413,627,377,25,0,0
2016,1303,1133,1440,5,2,0,928,628,859,4,0,0,0,7,0,1,2,0,375,498,581,0,0,0
2017,994,1356,1268,262,3,0,684,871,702,162,0,0,0,7,0,0,3,0,310,478,566,100,0,0
