"Year","DVRPC Region","NJ Counties","PA Suburban Counties","Bucks","Burlington","Camden","Chester","Delaware","Gloucester","Mercer","Montgomery","Philadelphia","DVRPC Region - 5-Year Average","NJ Counties - 5-Year Average","PA Suburban Counties - 5-Year Average","Bucks - 5-Year Average","Burlington - 5-Year Average","Camden - 5-Year Average","Chester - 5-Year Average","Delaware - 5-Year Average","Gloucester - 5-Year Average","Mercer - 5-Year Average","Montgomery - 5-Year Average","Philadelphia - 5-Year Average"
2006,1995.0,654.0,860.0,247.0,173.0,198.0,213.0,144.0,141.0,142.0,256.0,481.0,,,,,,,,,,,,
2007,1883.0,616.0,812.0,240.0,164.0,191.0,195.0,123.0,164.0,97.0,254.0,455.0,,,,,,,,,,,,
2008,1654.0,553.0,757.0,215.0,163.0,171.0,191.0,124.0,125.0,94.0,227.0,344.0,,,,,,,,,,,,
2009,1580.0,525.0,665.0,202.0,156.0,153.0,142.0,125.0,120.0,96.0,196.0,390.0,,,,,,,,,,,,
2010,1568.0,538.0,672.0,193.0,151.0,166.0,173.0,120.0,118.0,103.0,186.0,358.0,1736.0,577.2,753.2,219.4,161.4,175.8,182.8,127.2,133.6,106.4,223.8,405.6
2011,1535.0,501.0,670.0,200.0,151.0,158.0,157.0,127.0,111.0,81.0,186.0,364.0,1644.0,546.6,715.2,210.0,157.0,167.8,171.6,123.8,127.6,94.2,209.8,382.2
2012,1547.0,475.0,674.0,219.0,159.0,148.0,140.0,113.0,98.0,70.0,202.0,398.0,1576.8,518.4,687.6,205.8,156.0,159.2,160.6,121.8,114.4,88.8,199.4,370.8
2013,1410.0,427.0,637.0,169.0,132.0,129.0,136.0,131.0,103.0,63.0,201.0,346.0,1528.0,493.2,663.6,196.6,149.8,150.8,149.6,123.2,110.0,82.6,194.2,371.2
2014,1227.0,351.0,522.0,129.0,89.0,98.0,140.0,92.0,104.0,60.0,161.0,354.0,1457.4,458.4,635.0,182.0,136.4,139.8,149.2,116.6,106.8,75.4,187.2,364.0
2015,1354.0,378.0,607.0,187.0,123.0,114.0,139.0,103.0,88.0,53.0,178.0,369.0,1414.6,426.4,622.0,180.8,130.8,129.4,142.4,113.2,100.8,65.4,185.6,366.2
2016,1611.0,378.0,831.0,238.0,120.0,117.0,175.0,173.0,85.0,56.0,245.0,402.0,1429.8,401.8,654.2,188.4,124.6,121.2,146.0,122.4,95.6,60.4,197.4,373.8
2017,1662.0,448.0,843.0,238.0,108.0,156.0,160.0,190.0,111.0,73.0,255.0,371.0,1452.8,396.4,688.0,192.2,114.4,122.8,150.0,137.8,98.2,61.0,208.0,368.4
2018,1715.0,429.0,914.0,258.0,106.0,150.0,199.0,174.0,86.0,87.0,283.0,372.0,1513.8,396.8,743.4,210.0,109.2,127.0,162.6,146.4,94.8,65.8,224.4,373.6
2019,2093.0,651.0,898.0,284.0,153.0,199.0,178.0,180.0,179.0,120.0,256.0,544.0,1687.0,456.8,818.6,241.0,122.0,147.2,170.2,164.0,109.8,77.8,243.4,411.6
2020,2178.0,683.0,874.0,214.0,160.0,223.0,188.0,247.0,189.0,111.0,225.0,621.0,1851.8,517.8,872.0,246.4,129.4,169.0,180.0,192.8,130.0,89.4,252.8,462.0
2021,2364.0,817.0,921.0,246.0,200.0,254.0,158.0,228.0,212.0,151.0,289.0,626.0,2002.4,605.6,890.0,248.0,145.4,196.4,176.6,203.8,155.4,108.4,261.6,506.8
2022,2196.0,701.0,933.0,273.0,228.0,178.0,172.0,193.0,185.0,110.0,295.0,562.0,2109.2,656.2,908.0,255.0,169.4,200.8,179.0,204.4,170.2,115.8,269.6,545.0
2023,1969.0,425.0,921.0,250.0,133.0,105.0,161.0,214.0,105.0,82.0,296.0,623.0,2160.0,655.4,909.4,253.4,174.8,191.8,171.4,212.4,174.0,114.8,272.2,595.2
