"label","burlington","camden","gloucester","mercer","bucks","chester","delaware","montgomery","philadelphia"
"2020 Base",0,0,0,0,0,0,0,0,0
Natural Increase 2020,-21,314,-422,541,-1334,848,141,-150,2227
Net Migration 2020,2486,304,2354,-4606,2269,5164,-26,7158,-13496
Net Change 2020-2021,2465,618,1932,-4065,935,6012,115,7008,-11269
Natural Increase 2021,120,684,-125,709,-1280,1159,762,329,3303
Net Migration 2021,3594,1144,2330,4376,110,5085,-1088,1362,-21728
Net Change 2020-2022,6179,2446,4137,1020,-235,12256,-211,8699,-29694
Natural Increase 2022,402,1116,185,1053,-1143,1244,705,240,3882
Net Migration 2022,4166,3140,1865,3250,2704,3065,1778,4623,-10651
Net Change 2020-2023,10747,6702,6187,5323,1326,16565,2272,13562,-36463
Natural Increase 2023,366,928,85,1048,-791,1184,639,480,4240
Net Migration 2023,4938,2726,2512,4882,1548,2101,1715,4676,2680
Net Change 2020-2024,16051,10356,8784,11253,2083,19850,4626,18718,-29543
Natural Increase 2024,422,1002,112,1082,-778,1173,618,442,3992
Net Migration 2024,3502,1142,1246,849,192,1390,-1119,1993,-2510
Net Change 2020-2025,19975,12500,10142,13184,1497,22413,4125,21153,-28061
